,X.1,X,EcoliGeneName,EcoliLocus,NP_Ecoli,EcoliProtein,EcoliProteinCluster,SalmonellaProtein,SalmonellaCluster,NP_Salmonella,SalmonellaGeneName,SalmonellaLocus,State
1906,2196,3783,trkH,b3849,YP_026273,WP_000545677.1,PCLA_430990,WP_000545688.1,PCLA_430990,NP_462871,trkH,STM3986,MATCH
1907,2197,3800,typA,b3871,YP_026274,WP_000570668.1,PCLA_5012267,WP_000572067.1,PCLA_5012267,NP_462889,typA,STM4009,MATCH
1908,2198,3805,yihO,b3876,YP_026275,WP_001295267.1,PCLA_3499997,WP_000064888.1,PCLA_3499997,NP_462897,yihO,STM4017,MATCH
1909,2200,3837,sodA,b3908,NP_418344,WP_000122641.1,PCLA_431157,WP_000122635.1,PCLA_431157,NP_462936,sodA,STM4055,MATCH
1910,2201,3842,cpxP,b4484,YP_026277,WP_001223800.1,PCLA_430630,WP_001233463.1,PCLA_430630,NP_462941,cpxP,STM4060,MATCH
1911,2202,3875,ptsA,b3947,YP_026278,WP_001174077.1,PCLA_2967488,WP_001128495.1,PCLA_2967488,NP_462991,ptsA,STM4110,MATCH
1912,2203,3879,pflC,b3952,NP_418387,WP_000204105.1,PCLA_430359,WP_000171724.1,PCLA_430359,NP_462995,pflC,STM4115,MATCH
1913,2205,3915,yjaD,b3996,YP_026280,WP_000373940.1,PCLA_123081,WP_000373966.1,PCLA_123081,NP_463035,yjaD,STM4166,MATCH
1914,2206,4067,ecnA,b4410,YP_026283,WP_000977757.1,PCLA_430120,WP_000977687.1,PCLA_430120,NP_463199,ecnA,STM4335,MATCH
1915,2207,4068,ecnB,b4411,YP_026284,WP_000239596.1,PCLA_430364,WP_000239598.1,PCLA_430364,NP_463200,ecnB,STM4336,MATCH
1916,2208,4172,yjgM,b4256,YP_026287,WP_001059402.1,PCLA_894636,WP_001519079.1,PCLA_894636,NP_463333,yjgM,STM4473,MATCH
1917,2209,3722,trxA,b3781,NP_418228,WP_001280776.1,PCLA_213197,WP_001280776.1,PCLA_213197,NP_462806,trxA,STM3915,MATCH
1918,2210,40,fixA,b0041,NP_414583,WP_000692204.1,PCLA_207331,WP_000692185.1,PCLA_207331,NP_459080,fixA,STM0075,MATCH
1919,2212,75,leuO,b0076,NP_414618,WP_001115472.1,PCLA_213311,WP_001115420.1,PCLA_213311,NP_459120,leuO,STM0115,MATCH
1920,2213,76,ilvI,b0077,YP_025294,WP_001295534.1,PCLA_211816,WP_000468178.1,PCLA_211816,NP_459121,ilvI,STM0116,MATCH
1921,2214,115,yacL,b0119,NP_414661,WP_000384306.1,PCLA_209126,WP_000384308.1,PCLA_209126,NP_459165,yacL,STM0160,MATCH
1922,2215,118,yacC,b0122,NP_414664,WP_001295568.1,PCLA_879559,WP_000846613.1,PCLA_879559,NP_459172,yacC,STM0167,MATCH
1923,2216,121,hpt,b0125,NP_414667,WP_000683335.1,PCLA_2912533,WP_000683342.1,PCLA_2912533,NP_459175,hpt,STM0170,MATCH
1924,2217,143,ligT,b0147,NP_414689,WP_001294700.1,PCLA_2846239,WP_001294178.1,PCLA_2846239,NP_459193,ligT,STM0188,MATCH
1925,2218,158,cdaR,b0162,NP_414704,WP_000929443.1,PCLA_431593,WP_000929420.1,PCLA_431593,NP_459215,cdaR,STM0210,MATCH
1926,2219,170,cdsA,b0175,NP_414717,WP_000922446.1,PCLA_431725,WP_000922422.1,PCLA_431725,NP_459227,cdsA,STM0222,MATCH
1927,2220,182,yaeR,b0187,NP_414729,WP_000901099.1,PCLA_431594,WP_000901088.1,PCLA_431594,NP_459240,yaeR,STM0235,MATCH
1928,2221,184,rof,b0189,NP_414731,WP_001299435.1,PCLA_431726,WP_000062330.1,PCLA_431726,NP_459242,rof,STM0237,MATCH
1929,2222,203,yafS,b0213,NP_414749,WP_001326702.1,PCLA_879577,WP_000801238.1,PCLA_879577,NP_459260,yafS,STM0262,MATCH
1930,2223,212,yafH,b0221,NP_414756,WP_000973083.1,PCLA_213267,WP_000973041.1,PCLA_213267,NP_459307,yafH,STM0309,MATCH
1931,2227,365,hemB,b0369,NP_414903,WP_001295337.1,PCLA_3212685,WP_000130724.1,PCLA_3212685,NP_459367,hemB,STM0372,MATCH
1932,2228,374,yaiZ,b0380,NP_414914,WP_001295334.1,PCLA_879660,WP_001239243.1,PCLA_879660,NP_459374,yaiZ,STM0379,MATCH
1933,2229,381,yaiI,b0387,NP_414921,WP_000158159.1,PCLA_3592519,WP_000158137.1,PCLA_3592519,NP_459382,yaiI,STM0387,MATCH
1934,2230,388,yajF,b0394,NP_414928,WP_001219309.1,PCLA_340127,WP_001219277.1,PCLA_340127,NP_459388,yajF,STM0393,MATCH
1935,2231,412,yajO,b0419,NP_414953,WP_001199800.1,PCLA_879664,WP_001199859.1,PCLA_879664,NP_459416,yajO,STM0421,MATCH
1936,2234,420,yajR,b0427,NP_414961,WP_001000963.1,PCLA_879665,WP_001616383.1,PCLA_879665,NP_459431,yajR,STM0436,MATCH
1937,2235,428,bolA,b0435,NP_414969,WP_000973448.1,PCLA_431729,WP_000973433.1,PCLA_431729,NP_459442,bolA,STM0446,MATCH
1938,2236,439,cof,b0446,NP_414980,WP_001336137.1,PCLA_2846241,WP_000113030.1,PCLA_2846241,NP_459453,cof,STM0457,MATCH
1939,2237,440,ybaO,b0447,NP_414981,WP_000884589.1,PCLA_879671,WP_000884593.1,PCLA_879671,NP_459455,ybaO,STM0459,MATCH
1940,2238,449,ylaB,b0457,NP_414990,WP_001310610.1,PCLA_879675,WP_000213139.1,PCLA_879675,NP_459463,ylaB,STM0468,MATCH
1941,2239,450,ylaC,b0458,NP_414991,WP_000136192.1,PCLA_879676,WP_000136181.1,PCLA_879676,NP_459466,ylaC,STM0471,MATCH
1942,2240,483,ybbM,b0491,NP_415024,WP_001295323.1,PCLA_879683,WP_001002130.1,PCLA_879683,NP_459498,ybbM,STM0503,MATCH
1943,2241,484,ybbN,b0492,NP_415025,WP_001300573.1,PCLA_879684,WP_000116058.1,PCLA_879684,NP_459499,ybbN,STM0504,MATCH
1944,2242,504,ybbY,b0513,NP_415046,WP_001302767.1,PCLA_431533,WP_000484505.1,PCLA_431533,NP_459519,ybbY,STM0524,MATCH
1945,2243,519,ybcJ,b0528,NP_415061,WP_000190288.1,PCLA_431620,WP_000190278.1,PCLA_431620,NP_459536,ybcJ,STM0541,MATCH
1946,2244,603,dsbG,b0604,NP_415137,WP_000913829.1,PCLA_431755,WP_000597122.1,PCLA_431755,NP_459599,dsbG,STM0607,MATCH
1947,2245,605,ahpF,b0606,NP_415139,WP_000887629.1,PCLA_2912427,WP_000887644.1,PCLA_2912427,NP_459601,ahpF,STM0609,MATCH
1948,2246,616,citC,b0618,NP_415151,WP_000467705.1,PCLA_2939791,WP_000467874.1,PCLA_2939791,NP_459616,citC,STM0624,MATCH
1949,2247,626,ybeF,b0629,NP_415162,WP_000378026.1,PCLA_3438841,WP_001282817.1,PCLA_3438841,NP_459626,ybeF,STM0634,MATCH
1950,2248,627,lipB,b0630,NP_415163,WP_000284027.1,PCLA_2516167,WP_001539438.1,PCLA_2516167,NP_459627,lipB,STM0635,MATCH
1951,2250,672,ybfE,b0685,NP_415211,WP_001300829.1,PCLA_431768,WP_001040939.1,PCLA_431768,NP_459680,ybfE,STM0695,MATCH
1952,2251,704,abrB,b0715,NP_415243,WP_001336221.1,PCLA_2846262,WP_001122057.1,PCLA_2846262,NP_459714,abrB,STM0729,MATCH
1953,2252,776,ybhF,b0794,NP_415315,WP_000996107.1,PCLA_879770,WP_001287616.1,PCLA_879770,NP_459795,ybhF,STM0817,MATCH
1954,2253,790,ybiO,b0808,NP_415329,WP_001267253.1,PCLA_431581,WP_001267705.1,PCLA_431581,NP_459804,ybiO,STM0827,MATCH
1955,2256,837,potG,b0855,NP_415376,WP_000996005.1,PCLA_431710,WP_001000698.1,PCLA_431710,NP_459855,potG,STM0878,MATCH
1957,2258,851,ybjT,b0869,NP_415390,WP_001136554.1,PCLA_879800,WP_000069000.1,PCLA_879800,NP_459910,ybjT,STM0933,MATCH
1958,2259,855,hcp,b0873,NP_415394,WP_000458809.1,PCLA_3518132,WP_000458775.1,PCLA_3518132,NP_459914,hcp,STM0937,MATCH
1959,2260,856,ybjE,b0874,NP_415395,WP_000491142.1,PCLA_879801,WP_000491118.1,PCLA_879801,NP_459915,ybjE,STM0938,MATCH
1960,2261,860,ybjY,b0878,NP_415399,WP_000746442.1,PCLA_431684,WP_001201751.1,PCLA_431684,NP_459918,ybjY,STM0941,MATCH
1961,2262,880,ycaM,b0899,NP_415419,WP_000918506.1,PCLA_876836,WP_001134268.1,PCLA_876836,NP_459944,ycaM,STM0969,MATCH
1962,2263,886,ycaO,b0905,NP_415425,WP_001295344.1,PCLA_866891,WP_000194823.1,PCLA_866891,NP_459950,ycaO,STM0975,MATCH
1963,2264,890,ycaL,b0909,NP_415429,WP_001350496.1,PCLA_4935216,WP_000792312.1,PCLA_4935216,NP_459954,ycaL,STM0979,MATCH
1964,2265,894,ycaI,b0913,NP_415433,WP_000705764.1,PCLA_431650,WP_000705784.1,PCLA_431650,NP_459958,ycaI,STM0983,MATCH
1966,2267,927,ycbW,b0946,NP_415466,WP_001295353.1,PCLA_874393,WP_001220671.1,PCLA_874393,NP_460033,ycbW,STM1059,MATCH
1967,2268,941,yccS,b0960,NP_415480,WP_001382153.1,PCLA_865871,WP_000950880.1,PCLA_865871,NP_460047,yccS,STM1073,MATCH
1968,2269,944,mgsA,b0963,NP_415483,WP_000424181.1,PCLA_209112,WP_000424187.1,PCLA_209112,NP_460050,mgsA,STM1076,MATCH
1969,2271,950,yccK,b0969,NP_415489,WP_000904442.1,PCLA_431621,WP_000904446.1,PCLA_431621,NP_460058,yccK,STM1084,MATCH
1970,2272,976,torS,b0993,NP_415513,WP_001300633.1,PCLA_431582,WP_000106953.1,PCLA_431582,NP_462726,torS,STM3826,MATCH
1971,2273,1012,ycdW,b1033,NP_415551,WP_000351317.1,PCLA_2912579,WP_000402556.1,PCLA_2912579,NP_460106,ycdW,STM1135,MATCH
1972,2274,1015,ycdZ,b1036,NP_415554,WP_001300785.1,PCLA_869642,WP_000337814.1,PCLA_869642,NP_460109,ycdZ,STM1138,MATCH
1973,2276,1030,msyB,b1051,NP_415569,WP_000180056.1,PCLA_431583,WP_000180050.1,PCLA_431583,NP_460124,msyB,STM1153,MATCH
1974,2277,1043,yceL,b1065,NP_415583,WP_000092206.1,PCLA_431747,WP_000092165.1,PCLA_431747,NP_460137,yceL,STM1166,MATCH
1975,2278,1065,yceF,b1087,NP_415605,WP_001125202.1,PCLA_414415,WP_001137605.1,PCLA_414415,NP_460159,yceF,STM1189,MATCH
1976,2279,1068,plsX,b1090,NP_415608,WP_000197597.1,PCLA_2543576,WP_001518286.1,PCLA_2543576,NP_460162,plsX,STM1192,MATCH
1977,2281,1089,ycfQ,b1111,NP_415629,WP_001336528.1,PCLA_879954,WP_000205990.1,PCLA_879954,NP_460183,ycfQ,STM1213,MATCH
1978,2282,1095,ycfV,b1117,NP_415635,WP_001033694.1,PCLA_431730,WP_001033714.1,PCLA_431730,NP_460188,ycfV,STM1218,MATCH
1979,2283,1106,ycfD,b1128,NP_415646,WP_000456506.1,PCLA_879969,WP_000456516.1,PCLA_879969,NP_460199,ycfD,STM1229,MATCH
1980,2284,1111,trmU,b1133,NP_415651,WP_001297484.1,PCLA_414039,WP_014343832.1,PCLA_414039,NP_460204,trmU,STM1234,MATCH
1981,2285,1172,ycgO,b1191,NP_415709,WP_000340194.1,PCLA_209202,WP_000338376.1,PCLA_209202,NP_460757,ycgO,STM1801,MATCH
1982,2286,1174,emtA,b1193,NP_415711,WP_001301104.1,PCLA_2912580,WP_000776974.1,PCLA_2912580,NP_460755,emtA,STM1799,MATCH
1983,2287,1187,ychM,b1206,NP_415724,WP_001033352.1,PCLA_431758,WP_014343846.1,PCLA_431758,NP_460737,ychM,STM1781,MATCH
1984,2288,1228,yciU,b1248,NP_415764,WP_000366959.1,PCLA_208980,WP_000425069.1,PCLA_208980,NP_448158,yciU,STM1740,MATCH
1985,2289,1232,yciI,b1251,NP_415767,WP_000967595.1,PCLA_431492,WP_000967605.1,PCLA_431492,NP_460697,yciI,STM1738,MATCH
1986,2291,1288,pspF,b1303,NP_415819,WP_001301108.1,PCLA_431711,WP_001738297.1,PCLA_431711,NP_460649,pspF,STM1691,MATCH
1987,2292,1310,ycjG,b1325,NP_415841,WP_001261211.1,PCLA_2846244,WP_001258061.1,PCLA_2846244,NP_460639,ycjG,STM1681,MATCH
1988,2293,1363,ynaF,b1376,NP_415894,WP_001300461.1,PCLA_2846120,WP_001082296.1,PCLA_2846120,NP_460611,ynaF,STM1652,MATCH
1989,2295,1405,cybB,b1418,NP_415935,WP_000428998.1,PCLA_431626,WP_000527273.1,PCLA_431626,NP_460598,cybB,STM1639,MATCH
1990,2296,1410,ydcI,b1422,NP_415939,WP_000414567.1,PCLA_880076,WP_000414259.1,PCLA_880076,NP_460584,ydcI,STM1625,MATCH
1991,2297,1423,ydcP,b1435,NP_415952,WP_001303492.1,PCLA_3526325,WP_001249753.1,PCLA_3526325,NP_460563,ydcP,STM1604,MATCH
1992,2298,1439,yncC,b1450,NP_415967,WP_001300742.1,PCLA_431535,WP_001119592.1,PCLA_431535,NP_460547,yncC,STM1588,MATCH
1993,2299,1442,ansP,b1453,NP_415970,WP_001300590.1,PCLA_2846164,WP_000857101.1,PCLA_2846164,NP_460543,ansP,STM1584,MATCH
1994,2300,1465,adhP,b1478,NP_415995,WP_000642433.1,PCLA_213230,WP_000642447.1,PCLA_213230,NP_460526,adhP,STM1567,MATCH
1995,2301,1466,sfcA,b1479,NP_415996,WP_000433476.1,PCLA_4893780,WP_000450511.1,PCLA_4893780,NP_460525,sfcA,STM1566,MATCH
1996,2302,1468,yddX,b1481,NP_415998,WP_000495771.1,PCLA_431555,WP_000495700.1,PCLA_431555,NP_460523,yddX,STM1564,MATCH
1997,2304,1511,yneI,b1525,NP_416042,WP_000156615.1,PCLA_3445535,WP_000178397.1,PCLA_3445535,NP_460484,yneI,STM1524,MATCH
1998,2305,1516,marR,b1530,NP_416047,WP_000843414.1,PCLA_431625,WP_000843434.1,PCLA_431625,NP_460480,marR,STM1520,MATCH
1999,2306,1517,marA,b1531,NP_416048,WP_000091199.1,PCLA_431624,WP_011233048.1,PCLA_431624,NP_460479,marA,STM1519,MATCH
2000,2307,1519,ydeD,b1533,NP_416050,WP_000087187.1,PCLA_431570,WP_000987751.1,PCLA_431570,NP_460477,ydeD,STM1517,MATCH
2001,2308,1579,ynfI,b1591,NP_416108,WP_000148710.1,PCLA_431722,WP_000206561.1,PCLA_431722,NP_460455,ynfI,STM1495,MATCH
2003,2310,1581,ynfK,b1593,NP_416110,WP_000919231.1,PCLA_535816,WP_000919233.1,PCLA_535816,NP_460449,ynfK,STM1489,MATCH
2004,2311,1613,ydgJ,b1624,NP_416141,WP_001282550.1,PCLA_431685,WP_014343837.1,PCLA_431685,NP_460425,ydgJ,STM1462,MATCH
2005,2312,1616,ydgK,b1626,NP_416143,WP_001310854.1,PCLA_880150,WP_000214061.1,PCLA_880150,NP_460423,ydgK,STM1460,MATCH
2006,2313,1629,ydhA,b1639,NP_416156,WP_000178044.1,PCLA_431494,WP_001132086.1,PCLA_431494,NP_460410,ydhA,STM1447,MATCH
2007,2314,1632,slyA,b1642,NP_416159,WP_001296943.1,PCLA_207533,WP_000764553.1,PCLA_207533,NP_460407,slyA,STM1444,MATCH
2008,2315,1634,ydhJ,b1644,NP_416161,WP_001300356.1,PCLA_880153,WP_000016506.1,PCLA_880153,NP_460405,ydhJ,STM1442,MATCH
2009,2317,1672,sufB,b1683,NP_416198,WP_000089364.1,PCLA_431835,WP_000089383.1,PCLA_431835,NP_460335,sufB,STM1370,MATCH
2010,2318,1678,ydiL,b1689,NP_416204,WP_001310864.1,PCLA_880163,WP_000980452.1,PCLA_880163,NP_460328,ydiL,STM1362,MATCH
2011,2319,1684,ydiO,b1695,NP_416210,WP_000347850.1,PCLA_501594,WP_000347819.1,PCLA_501594,NP_460322,ydiO,STM1356,MATCH
2012,2320,1757,pncA,b1768,NP_416282,WP_001135066.1,PCLA_431712,WP_000184708.1,PCLA_431712,NP_460259,pncA,STM1293,MATCH
2013,2322,1769,yeaD,b1780,NP_416294,WP_001335909.1,PCLA_880197,WP_000608662.1,PCLA_880197,NP_460255,yeaD,STM1289,MATCH
2014,2323,1775,yeaJ,b1786,NP_416300,WP_000766132.1,PCLA_880200,WP_001048646.1,PCLA_880200,NP_460249,yeaJ,STM1283,MATCH
2015,2324,1800,yoaB,b1809,NP_416323,WP_001295493.1,PCLA_880215,WP_000029550.1,PCLA_880215,NP_460778,yoaB,STM1822,MATCH
2017,2330,1829,yebW,b1837,NP_416351,WP_000457842.1,PCLA_3031933,WP_000457836.1,PCLA_3031933,NP_460808,yebW,STM1852,MATCH
2018,2331,1830,prpA,b1838,NP_416352,WP_000812724.1,PCLA_5012082,WP_000986176.1,PCLA_5012082,NP_460809,prpA,STM1853,MATCH
2019,2332,1848,yebA,b1856,NP_416370,WP_001184045.1,PCLA_431749,WP_001184028.1,PCLA_431749,NP_460847,yebA,STM1890,MATCH
2020,2333,1849,znuA,b1857,NP_416371,WP_001300644.1,PCLA_340115,WP_012543344.1,PCLA_340115,NP_460848,znuA,STM1891,MATCH
2021,2334,1855,yebB,b1862,NP_416376,WP_001024932.1,PCLA_431586,WP_000716748.1,PCLA_431586,NP_460854,yebB,STM1897,MATCH
2022,2335,1860,yecD,b1867,NP_416381,WP_000891621.1,PCLA_431559,WP_000916144.1,PCLA_431559,NP_460859,yecD,STM1902,MATCH
2023,2336,1862,yecN,b1869,NP_416383,WP_000252980.1,PCLA_889087,WP_000252975.1,PCLA_889087,NP_460861,yecN,STM1904,MATCH
2024,2337,1867,cutC,b1874,YP_025309,WP_001185741.1,PCLA_431678,WP_001185770.1,PCLA_431678,NP_460864,cutC,STM1907,MATCH
2025,2338,1868,yecM,b1875,NP_416389,WP_001326725.1,PCLA_431778,WP_000024794.1,PCLA_431778,NP_460865,yecM,STM1908,MATCH
2026,2339,1903,uvrC,b1913,NP_416423,WP_001283421.1,PCLA_429552,WP_001289461.1,PCLA_429552,NP_460899,uvrC,STM1946,MATCH
2027,2340,1909,yedO,b1919,NP_416429,WP_001128215.1,PCLA_207850,WP_001128180.1,PCLA_207850,NP_460906,yedO,STM1953,MATCH
2028,2341,1911,fliZ,b1921,NP_416431,WP_001350518.1,PCLA_431688,WP_000218080.1,PCLA_431688,NP_460908,fliZ,STM1955,MATCH
2029,2342,1928,fliH,b1940,NP_416450,WP_001282683.1,PCLA_209532,WP_000064163.1,PCLA_209532,NP_460924,fliH,STM1971,MATCH
2030,2343,1935,fliO,b1947,NP_416457,WP_001302429.1,PCLA_431601,WP_000978276.1,PCLA_431601,NP_460931,fliO,STM1978,MATCH
2031,2344,1941,yodD,b1953,NP_416463,WP_000844800.1,PCLA_880248,WP_000844798.1,PCLA_880248,NP_460936,yodD,STM1984,MATCH
2033,2347,1997,yeeF,b2014,NP_416518,WP_000019197.1,PCLA_866970,WP_000178807.1,PCLA_866970,NP_461013,yeeF,STM2068,MATCH
2034,2348,1999,yeeY,b2015,NP_416519,WP_000803351.1,PCLA_880269,WP_000803316.1,PCLA_880269,NP_461014,yeeY,STM2069,MATCH
2035,2349,2007,hisB,b2022,NP_416526,WP_000080105.1,PCLA_209316,WP_000080044.1,PCLA_209316,NP_461019,hisB,STM2074,MATCH
2036,2350,2009,hisA,b2024,NP_416528,WP_000586462.1,PCLA_2543424,WP_000586409.1,PCLA_2543424,NP_461021,hisA,STM2076,MATCH
2037,2351,2012,wzzB,b2027,NP_416531,WP_001393575.1,PCLA_2912581,WP_000215261.1,PCLA_2912581,NP_461024,wzzB,STM2079,MATCH
2038,2353,2045,wzc,b2060,NP_416564,WP_000137196.1,PCLA_431632,WP_000136405.1,PCLA_431632,NP_461061,wzc,STM2116,MATCH
2039,2354,2051,udk,b2066,NP_416570,WP_001295424.1,PCLA_976003,WP_000132082.1,PCLA_976003,NP_461067,udk,STM2122,MATCH
2040,2355,2054,yegD,b2069,NP_416573,WP_000469708.1,PCLA_431770,WP_000469629.1,PCLA_431770,NP_461070,yegD,STM2125,MATCH
2041,2356,2082,fbaB,b2097,NP_416600,WP_000129551.1,PCLA_213077,WP_000129590.1,PCLA_213077,NP_461085,fbaB,STM2141,MATCH
2042,2358,2098,mrp,b2113,NP_416616,WP_001005448.1,PCLA_431765,WP_001005424.1,PCLA_431765,NP_461098,mrp,STM2154,MATCH
2043,2359,2107,yehR,b2123,NP_416627,WP_001295429.1,PCLA_880301,WP_000703137.1,PCLA_880301,NP_461100,yehR,STM2156,MATCH
2044,2361,2120,yohC,b2135,NP_416639,WP_001295454.1,PCLA_880308,WP_001017057.1,PCLA_880308,NP_461114,yohC,STM2169,MATCH
2045,2362,2121,yohD,b2136,NP_416640,WP_001296821.1,PCLA_880309,WP_000930540.1,PCLA_880309,NP_461115,yohD,STM2170,MATCH
2046,2363,2132,yeiA,b2147,NP_416652,WP_000956071.1,PCLA_3568971,WP_000956095.1,PCLA_3568971,NP_461132,yeiA,STM2187,MATCH
2047,2364,2160,yeiU,b2174,NP_416679,WP_000594599.1,PCLA_880320,WP_000178095.1,PCLA_880320,NP_461157,yeiU,STM2213,MATCH
2048,2365,2163,yejA,b2177,NP_416682,WP_000637046.1,PCLA_2846258,WP_000561747.1,PCLA_2846258,NP_461160,yejA,STM2216,MATCH
2049,2366,2187,napB,b2203,NP_416707,WP_000835174.1,PCLA_431691,WP_000835182.1,PCLA_431691,NP_461199,napB,STM2256,MATCH
2050,2367,2230,yfaV,b2246,NP_416749,WP_000100890.1,PCLA_880338,WP_000028931.1,PCLA_880338,NP_461232,yfaV,STM2290,MATCH
2051,2369,2250,menF,b2265,NP_416768,WP_001191419.1,PCLA_2846127,WP_000555674.1,PCLA_2846127,NP_461252,menF,STM2310,MATCH
2052,2371,2278,yfbT,b2293,NP_416796,WP_001203392.1,PCLA_431692,WP_014343872.1,PCLA_431692,NP_461276,yfbT,STM2334,MATCH
2053,2373,2283,yfcC,b2298,NP_416801,WP_001274493.1,PCLA_431693,WP_000117932.1,PCLA_431693,NP_461281,yfcC,STM2339,MATCH
2054,2376,2315,yfcB,b2330,NP_416833,WP_001300582.1,PCLA_431832,WP_001542329.1,PCLA_431832,NP_461327,yfcB,STM2385,MATCH
2055,2377,2327,yfcZ,b2343,NP_416845,WP_001296261.1,PCLA_880362,WP_000030904.1,PCLA_880362,NP_461332,yfcZ,STM2390,MATCH
2056,2378,2363,ddg,b2378,NP_416879,WP_000484404.1,PCLA_211861,WP_000484423.1,PCLA_211861,NP_461342,ddg,STM2401,MATCH
2057,2379,2380,yfeA,b2395,NP_416896,WP_000497400.1,PCLA_880383,WP_001112946.1,PCLA_880383,NP_461351,yfeA,STM2410,MATCH
2058,2380,2381,yfeC,b2398,NP_416897,WP_001296278.1,PCLA_880384,WP_000472034.1,PCLA_880384,NP_461352,yfeC,STM2413,MATCH
2059,2382,2406,ucpA,b2426,NP_416921,WP_000517431.1,PCLA_212062,WP_000517460.1,PCLA_212062,NP_461380,ucpA,STM2445,MATCH
2061,2385,2418,eutK,b2438,NP_416933,WP_000606257.1,PCLA_2912576,WP_000606266.1,PCLA_2912576,NP_461390,eutK,STM2455,MATCH
2062,2386,2421,eutB,b2441,NP_416936,WP_000769961.1,PCLA_2846182,WP_000769990.1,PCLA_2846182,NP_461393,eutB,STM2458,MATCH
2063,2387,2433,eutG,b2453,NP_416948,WP_001326575.1,PCLA_2912564,WP_001147500.1,PCLA_2912564,NP_461396,eutG,STM2461,MATCH
2064,2388,2442,eutS,b2462,NP_416957,WP_000356956.1,PCLA_2912578,WP_001031445.1,PCLA_2912578,NP_461405,eutS,STM2470,MATCH
2065,2389,2459,nlpB,b2477,NP_416972,WP_001297320.1,PCLA_431771,WP_000331877.1,PCLA_431771,NP_461423,nlpB,STM2488,MATCH
2066,2390,2461,gcvR,b2479,NP_416974,WP_000176187.1,PCLA_431694,WP_001576288.1,PCLA_431694,NP_461425,gcvR,STM2490,MATCH
2067,2391,2480,upp,b2498,NP_416993,WP_001295473.1,PCLA_414028,WP_000706208.1,PCLA_414028,NP_461433,upp,STM2498,MATCH
2068,2392,2492,yfgJ,b2510,NP_417005,WP_001301158.1,PCLA_881217,WP_000406466.1,PCLA_881217,NP_461453,yfgJ,STM2518,MATCH
2069,2393,2493,engA,b2511,NP_417006,WP_000249410.1,PCLA_2770951,WP_000249411.1,PCLA_2770951,NP_461454,engA,STM2519,MATCH
2070,2394,2503,sseA,b2521,NP_417016,WP_000108626.1,PCLA_431607,WP_000205241.1,PCLA_431607,NP_461468,sseA,STM2533,MATCH
2071,2395,2504,sseB,b2522,NP_417017,WP_001295479.1,PCLA_431713,WP_000612718.1,PCLA_431713,NP_461470,sseB,STM2535,MATCH
2072,2396,2505,pepB,b2523,NP_417018,WP_000133592.1,PCLA_208904,WP_000133541.1,PCLA_208904,NP_461471,pepB,STM2536,MATCH
2073,2397,2517,csiE,b2535,NP_417030,WP_000982994.1,PCLA_431670,WP_000982961.1,PCLA_431670,NP_461488,csiE,STM2553,MATCH
2074,2398,2539,yfhK,b2556,NP_417051,WP_001311037.1,PCLA_2939830,WP_001540638.1,PCLA_2939830,NP_461499,yfhK,STM2564,MATCH
2075,2399,2543,yfhB,b2560,NP_417055,WP_000190655.1,PCLA_431695,WP_000253558.1,PCLA_431695,NP_461504,yfhB,STM2569,MATCH
2076,2400,2544,yfhH,b2561,NP_417056,WP_001013779.1,PCLA_431663,WP_000995703.1,PCLA_431663,NP_461507,yfhH,STM2572,MATCH
2077,2402,2567,yfiP,b2583,NP_417078,WP_001300438.1,PCLA_880439,WP_000183639.1,PCLA_880439,NP_461585,yfiP,STM2650,MATCH
2078,2403,2569,pssA,b2585,NP_417080,WP_000949265.1,PCLA_213236,WP_000949286.1,PCLA_213236,NP_461587,pssA,STM2652,MATCH
2079,2404,2587,rimM,b2608,NP_417099,WP_000043335.1,PCLA_414022,WP_000043266.1,PCLA_414022,NP_461605,rimM,STM2675,MATCH
2080,2405,2595,smpA,b2617,NP_417107,WP_001203437.1,PCLA_431656,WP_001203445.1,PCLA_431656,NP_461615,smpA,STM2685,MATCH
2081,2408,2629,ygaF,b2660,NP_417146,WP_000271909.1,PCLA_431795,WP_000271907.1,PCLA_431795,NP_461716,ygaF,STM2790,MATCH
2082,2409,2633,ygaE,b2664,NP_417150,WP_000156811.1,PCLA_431645,WP_000126152.1,PCLA_431645,NP_461720,ygaE,STM2794,MATCH
2083,2410,2672,ygaA,b2709,NP_417189,WP_000010749.1,PCLA_208911,WP_000010814.1,PCLA_208911,NP_461760,ygaA,STM2839,MATCH
2084,2412,2772,ygdI,b2809,NP_417289,WP_000750398.1,PCLA_880496,WP_000750393.1,PCLA_880496,NP_461902,ygdI,STM2983,MATCH
2085,2413,2777,amiC,b2817,NP_417294,WP_000016907.1,PCLA_2939829,WP_000011919.1,PCLA_2939829,NP_461908,amiC,STM2991,MATCH
2086,2414,2784,ygdB,b2824,NP_417301,WP_001078376.1,PCLA_431634,WP_001078532.1,PCLA_431634,NP_461915,ygdB,STM2998,MATCH
2087,2415,2804,yqeF,b2844,NP_417321,WP_000656030.1,PCLA_209635,WP_000665977.1,PCLA_209635,NP_461936,yqeF,STM3019,MATCH
2088,2416,2866,ygfB,b2909,NP_417385,WP_001295378.1,PCLA_415018,WP_000930129.1,PCLA_415018,NP_461975,ygfB,STM3059,MATCH
